(19.51033646,-99.2341598)
(19.4545872,-99.2187811)
(19.5031273,-99.2029622)
(19.47713,-99.2308138)
(19.6572172,-99.2104164)
(19.549737,-99.2785889)
(19.4844414,-99.2671561)
(19.6023862,-99.1935267)
(19.4938212,-99.248094)
(19.5383553,-99.2104642)
(19.6891507,-99.2168302)
(19.5573097,-99.2472647)
(19.487364,-99.1547051)
(19.5020779,-99.1595375)
(19.6468,-99.2100397)
(19.6308604,-99.0891888)
(19.5937984,-99.2278501)
(19.5280286,-99.1588417)
(19.4744216,-99.2356738)
(19.4909011,-99.136035)
(19.4736132,-99.1908538)
(19.4682234,-99.1469363)
