"","Estado","Municipio","Colonia","id"
"653","PUEBLA","ZACATLAN","EL MORAL","PU.ZA.ED"
"654","PUEBLA","ZACATLAN","EL BRINCO","PU.ZA.EI"
"655","PUEBLA","ZACATLAN","LOMAS DEL CALVARIO","PU.ZA.LD"
"656","PUEBLA","ZACATLAN","MATLAHUACALA","PU.ZA.MA"
"657","PUEBLA","ZACATLAN","ATEZCA","PU.ZA.AT"
"658","PUEBLA","ZACATLAN","AYEHUALULCO EJIDO","PU.ZA.AH"
"659","PUEBLA","ZACATLAN","TRES EN UNO","PU.ZA.TR"
"660","PUEBLA","ZACATLAN","MONTECARLO","PU.ZA.MO"
"661","PUEBLA","ZACATLAN","LA CUMBRE","PU.ZA.LR"
"662","PUEBLA","ZACATLAN","SAN PEDRO ATMATLA","PU.ZA.SD"
"663","PUEBLA","ZACATLAN","HUEYAPAN","PU.ZA.HU"
"664","PUEBLA","ZACATLAN","EL PROGRESO","PU.ZA.EG"
"665","PUEBLA","ZACATLAN","EL FRESNO","PU.ZA.EF"
"666","PUEBLA","ZACATLAN","UNIDAD DEPORTIVA","PU.ZA.UU"
"667","PUEBLA","ZACATLAN","CRUZ DEL GUARDIAN","PU.ZA.CR"
"668","PUEBLA","ZACATLAN","EJIDO","PU.ZA.EJ"
"669","PUEBLA","CHIGNAHUAPAN","LLANO VERDE","PU.CH.LA"
"670","PUEBLA","CHIGNAHUAPAN","EL ROSAL","PU.CH.ER"
"671","PUEBLA","CHIGNAHUAPAN","IXTLAHUACA BARRIO","PU.CH.II"
"672","PUEBLA","CHIGNAHUAPAN","TENEXTLA","PU.CH.TN"
"673","PUEBLA","CHIGNAHUAPAN","LA YERBA","PU.CH.LY"
"674","PUEBLA","CHIGNAHUAPAN","LAS VIBORAS","PU.CH.LV"
"675","PUEBLA","CHIGNAHUAPAN","LA QUINTA","PU.CH.LQ"
"676","PUEBLA","CHIGNAHUAPAN","SEBASTOPOL","PU.CH.SS"
"677","PUEBLA","CHIGNAHUAPAN","ACOLIHUIA","PU.CH.AO"
"678","PUEBLA","CHIGNAHUAPAN","LOMA ALTA","PU.CH.LM"
"679","PUEBLA","CHIGNAHUAPAN","LLANO GRANDE","PU.CH.LN"
"680","PUEBLA","CHIGNAHUAPAN","SAN MIGUEL LASTIRI","PU.CH.SM"
"681","PUEBLA","CHIGNAHUAPAN","TZITLA","PU.CH.TZ"
"682","PUEBLA","CHIGNAHUAPAN","EL PEDREGAL","PU.CH.EP"
