"","Estado","Municipio","Colonia","ids"
"1","Puebla","Puebla","San Francisco","PU.PU.SF"
"2","Puebla","Puebla","Centro","PU.PU.CC"
"3","Puebla","Puebla","Santa María la Rivera","PU.PU.SR"
"4","Puebla","Puebla","INFONAVIT Bosques 5 de Febrero","PU.PU.IF"
"5","Puebla","Puebla","Residencial Santa María","PU.PU.RM"
"6","Puebla","Puebla","Las Huertas","PU.PU.LH"
"7","Puebla","Puebla","Santa Bárbara","PU.PU.SB"
"8","Puebla","Puebla","San José los Cerritos","PU.PU.SC"
"9","Puebla","Puebla","La Condesa","PU.PU.LC"
"10","Puebla","Puebla","El Conde II","PU.PU.EI"
"11","Puebla","Puebla","Polideportivo","PU.PU.PP"
"12","Puebla","Puebla","Miravalle","PU.PU.MM"
"13","Puebla","Puebla","Benito Juárez","PU.PU.BJ"
"14","Puebla","Puebla","INFONAVIT Fidel Velázquez","PU.PU.IV"
"15","Puebla","Puebla","Nueva 13 de Abril","PU.PU.NA"
"16","Puebla","Puebla","El Conde","PU.PU.EC"
"17","Puebla","Puebla","Rosas del Tepeyac","PU.PU.RT"
"18","Puebla","Puebla","San Pablo Xochimehuacan","PU.PU.SX"
"19","Puebla","Puebla","Barranca Honda","PU.PU.BH"
"20","Puebla","Puebla","Ignacio Mariscal","PU.PU.IM"
"21","Puebla","Puebla","Guadalupe del Oro","PU.PU.GO"
"22","Puebla","Puebla","La Candelaria","PU.PU.LC"
"23","Puebla","Puebla","Real de Guadalupe","PU.PU.RG"
"24","Puebla","Puebla","Nuevo Paraíso","PU.PU.NP"
"25","Puebla","Puebla","Villas de Marques","PU.PU.VM"
"26","Puebla","Puebla","INFONAVIT Villa Frontera","PU.PU.IF"
"27","Puebla","Puebla","Villa Margarita Garcia","PU.PU.VG"
"28","Puebla","Puebla","Guadalupe del Conde","PU.PU.GC"
"29","Puebla","Puebla","Rancho Guadalupe","PU.PU.RG"
"30","Puebla","Puebla","Villas San Gregorio","PU.PU.VG"
"31","Puebla","Puebla","Seda Monsanto","PU.PU.SM"
"32","Puebla","Puebla","San José el Conde","PU.PU.SC"
"33","Puebla","Puebla","Villa Guadalupe","PU.PU.VG"
"34","Puebla","Puebla","Solidaridad Nacional","PU.PU.SN"
"35","Puebla","Puebla","Monte Alban","PU.PU.MA"
"36","Puebla","Puebla","Jorge Murad Macluf","PU.PU.JM"
"37","Puebla","Puebla","Emperatriz","PU.PU.EE"
"38","Puebla","Puebla","Nueva España","PU.PU.NE"
"39","Puebla","Puebla","Villas San José","PU.PU.VJ"
"40","Puebla","Puebla","Las Sonatas","PU.PU.LS"
"41","Puebla","Puebla","Venustiano Carranza","PU.PU.VC"
"42","Puebla","Puebla","Villas Diamante","PU.PU.VD"
"43","Puebla","Puebla","Nueva San Salvador","PU.PU.NS"
"44","Puebla","Puebla","México 83","PU.PU.M8"
"45","Puebla","Puebla","Parque Industrial 5 de Mayo","PU.PU.PM"
"46","Puebla","Puebla","Central de Abastos","PU.PU.CA"
"47","Puebla","Puebla","San José Cuatro Caminos","PU.PU.SC"
"48","Puebla","Puebla","San Rafael Oriente","PU.PU.SO"
"49","Puebla","Puebla","San Jerónimo","PU.PU.SJ"
"50","Puebla","Puebla","Villas del Mesón I","PU.PU.VI"
"51","Puebla","Puebla","Pino Suárez","PU.PU.PS"
"52","Puebla","Puebla","Villas del Mesón II","PU.PU.VI"
"53","Puebla","Puebla","Francisco Villa","PU.PU.FV"
"54","Puebla","Puebla","El Riego Sur","PU.PU.ES"
"55","Puebla","Puebla","Zona Cementos Atoyac","PU.PU.ZA"
"56","Puebla","Puebla","San Rafael Poniente","PU.PU.SP"
"57","Puebla","Puebla","San Felipe Hueyotlipan","PU.PU.SH"
"58","Puebla","Puebla","Aquiles Serdán","PU.PU.AS"
"59","Puebla","Puebla","Rancho Colorado","PU.PU.RC"
"60","Puebla","Puebla","Rincón Dorado","PU.PU.RD"
"61","Puebla","Puebla","Fuentes la Pradera","PU.PU.FP"
"62","Puebla","Puebla","Plazuelas San José","PU.PU.PJ"
"63","Puebla","Puebla","Villas San Felipe","PU.PU.VF"
"64","Puebla","Puebla","La Pedrera","PU.PU.LP"
"65","Puebla","Puebla","Del Valle","PU.PU.DV"
"66","Puebla","Puebla","Futura","PU.PU.FF"
"67","Puebla","Puebla","Valle del Ángel","PU.PU.VÁ"
"68","Puebla","Puebla","Jesús González Ortéga","PU.PU.JO"
"69","Puebla","Puebla","San Bernardo","PU.PU.SB"
"70","Puebla","Puebla","Jorge Murad Macluf","PU.PU.JM"
"71","Puebla","Puebla","Ex-Rancho Colorado","PU.PU.EC"
"72","Puebla","Puebla","Plaza San Alberto","PU.PU.PA"
"73","Puebla","Puebla","Plaza Pedrera","PU.PU.PP"
"74","Puebla","Puebla","Zona CAPU","PU.PU.ZC"
"75","Puebla","Puebla","Francisco Villa (Hoy 26 de Mayo)","PU.PU.FM"
"76","Puebla","Puebla","Las Cuartillas","PU.PU.LC"
"77","Puebla","Puebla","Unión","PU.PU.UU"
"78","Puebla","Puebla","Los Arcos","PU.PU.LA"
"79","Puebla","Puebla","Los Ídolos","PU.PU.LÍ"
"80","Puebla","Puebla","Cleotilde Torres","PU.PU.CT"
"81","Puebla","Puebla","San Miguel Hueyotlipan","PU.PU.SH"
"82","Puebla","Puebla","Villa Karol","PU.PU.VK"
"83","Puebla","Puebla","Torres 475","PU.PU.T4"
"84","Puebla","Puebla","Villa Posadas","PU.PU.VP"
"85","Puebla","Puebla","Real del Monte","PU.PU.RM"
"86","Puebla","Puebla","Las Pozas","PU.PU.LP"
"87","Puebla","Puebla","Rancho Posadas","PU.PU.RP"
"88","Puebla","Puebla","Nueva Aurora Popular","PU.PU.NP"
"89","Puebla","Puebla","Quetzalcoatl","PU.PU.QQ"
"90","Puebla","Puebla","Rancho Colorado","PU.PU.RC"
"91","Puebla","Puebla","Plaza San Pedro","PU.PU.PP"
"92","Puebla","Puebla","Valle Dorado","PU.PU.VD"
"93","Puebla","Puebla","Aquiles Serdán","PU.PU.AS"
"94","Puebla","Puebla","Las Hadas Mundial 86","PU.PU.L8"
"95","Puebla","Puebla","S.A.R.H.","PU.PU.SS"
"96","Puebla","Puebla","Unidad del Telefonista","PU.PU.UT"
"97","Puebla","Puebla","Del Refugio","PU.PU.DR"
"98","Puebla","Puebla","Maestro Federal","PU.PU.MF"
"99","Puebla","Puebla","Morelos","PU.PU.MM"
"100","Puebla","Puebla","Real de San Antonio","PU.PU.RA"
"101","Puebla","Puebla","Santa María","PU.PU.SM"
"102","Puebla","Puebla","Barrio de Santa Anita","PU.PU.BA"
"103","Puebla","Puebla","San Antonio","PU.PU.SA"
"104","Puebla","Puebla","Zona Esmeralda","PU.PU.ZE"
"105","Puebla","Puebla","Dos Arbolitos","PU.PU.DA"
"106","Puebla","Puebla","Tierra y Libertad","PU.PU.TL"
"107","Puebla","Puebla","Villa San Alejandro","PU.PU.VA"
"108","Puebla","Puebla","Jesús García","PU.PU.JG"
"109","Puebla","Puebla","La Providencia","PU.PU.LP"
"110","Puebla","Puebla","Barrio San Sebastián","PU.PU.BS"
"111","Puebla","Puebla","Residencial las Fuentes","PU.PU.RF"
"112","Puebla","Puebla","San Matías","PU.PU.SM"
"113","Puebla","Puebla","El Tamborcito","PU.PU.ET"
"114","Puebla","Puebla","La Covadonga","PU.PU.LC"
"115","Puebla","Puebla","San Jerónimo Caleras","PU.PU.SC"
"116","Puebla","Puebla","Rinconada San Jerónimo Orquídeas","PU.PU.RO"
"117","Puebla","Puebla","Loma Real","PU.PU.LR"
"118","Puebla","Puebla","Magnolias","PU.PU.MM"
"119","Puebla","Puebla","El Boscaje","PU.PU.EB"
"120","Puebla","Puebla","Agrícola Ignacio Zaragoza","PU.PU.AZ"
"121","Puebla","Puebla","Loma Bonita","PU.PU.LB"
"122","Puebla","Puebla","Los Cipreses","PU.PU.LC"
"123","Puebla","Puebla","San Cristóbal Caleras (Tulcingo)","PU.PU.S("
"124","Puebla","Puebla","Lomas Coyopotrero","PU.PU.LC"
"125","Puebla","Puebla","El Jazmín","PU.PU.EJ"
"126","Puebla","Puebla","San Jerónimo","PU.PU.SJ"
"127","Puebla","Puebla","Campestre Covadonga","PU.PU.CC"
"128","Puebla","Puebla","Independencia Caleras","PU.PU.IC"
"129","Puebla","Puebla","Del Valle","PU.PU.DV"
"130","Puebla","Puebla","El Roble I","PU.PU.EI"
"131","Puebla","Puebla","Secc. Bugambilias (San Jerónimo Caleras)","PU.PU.SC"
"132","Puebla","Puebla","FOVI","PU.PU.FF"
"133","Puebla","Puebla","Rinconada San Jerónimo Jazmín","PU.PU.RJ"
"134","Puebla","Puebla","Guadalupe Caleras","PU.PU.GC"
"135","Puebla","Puebla","San José la Cañada","PU.PU.SC"
"136","Puebla","Puebla","Une Movimiento Sindical","PU.PU.US"
"137","Puebla","Puebla","La Guadalupana","PU.PU.LG"
"138","Puebla","Puebla","Del Valle (San Jerónimo Caleras)","PU.PU.DC"
"139","Puebla","Puebla","Colorines","PU.PU.CC"
"140","Puebla","Puebla","Lomas de San Jerónimo","PU.PU.LJ"
"141","Puebla","Puebla","El Riego Norte","PU.PU.EN"
"142","Puebla","Puebla","Pedregal de Santo Domingo","PU.PU.PD"
"143","Puebla","Puebla","San Juan","PU.PU.SJ"
"144","Puebla","Puebla","Los Pinos","PU.PU.LP"
"145","Puebla","Puebla","Los Sauces","PU.PU.LS"
"146","Puebla","Puebla","El Fresno","PU.PU.EF"
"147","Puebla","Puebla","El Riego 1","PU.PU.E1"
"148","Puebla","Puebla","El Riego 2","PU.PU.E2"
"149","Puebla","Puebla","Xaxalpa (San Jerónimo)","PU.PU.XJ"
"150","Puebla","Puebla","Santo Domingo","PU.PU.SD"
"151","Puebla","Puebla","El Jaguey","PU.PU.EJ"
"152","Puebla","Puebla","Lomas Tzilotzoni","PU.PU.LT"
"153","Puebla","Puebla","Vista del Valle","PU.PU.VV"
"154","Puebla","Puebla","Unidad Volkswagen Sur","PU.PU.US"
"155","Puebla","Puebla","Apetlachica","PU.PU.AA"
"156","Puebla","Puebla","Orquideas Residencial","PU.PU.OR"
"157","Puebla","Puebla","Plan de Ayala Caleras","PU.PU.PC"
"158","Puebla","Puebla","Loma Linda","PU.PU.LL"
"159","Puebla","Puebla","Civa G","PU.PU.CG"
"160","Puebla","Puebla","Lomas de Coyopotrero","PU.PU.LC"
"161","Puebla","Puebla","Vista del Valle","PU.PU.VV"
"162","Puebla","Puebla","Lázaro Cárdenas Oriente","PU.PU.LO"
"163","Puebla","Puebla","Azcapotzalco","PU.PU.AA"
"164","Puebla","Puebla","Alberto de la Fuente","PU.PU.AF"
"165","Puebla","Puebla","Las Palomas","PU.PU.LP"
"166","Puebla","Puebla","San Cristóbal Tulcingo Oriente","PU.PU.SO"
"167","Puebla","Puebla","Hacienda Los Olivos","PU.PU.HO"
"168","Puebla","Puebla","Los Angeles Barranca Honda","PU.PU.LH"
"169","Puebla","Puebla","San Juan Tulcingo","PU.PU.ST"
"170","Puebla","Puebla","San José las Flores","PU.PU.SF"
"171","Puebla","Puebla","Paraíso del Angel","PU.PU.PA"
"172","Puebla","Puebla","Arboledas de Moratilla","PU.PU.AM"
"173","Puebla","Puebla","2a. Sección Club de Golf las Fuentes","PU.PU.2F"
"174","Puebla","Puebla","Club de Golf las Fuentes","PU.PU.CF"
"175","Puebla","Puebla","Luz Obrera","PU.PU.LO"
"176","Puebla","Puebla","Moratilla","PU.PU.MM"
"177","Puebla","Puebla","Perpetuo Socorro","PU.PU.PS"
"178","Puebla","Puebla","Fuentes de Morillotla","PU.PU.FM"
"179","Puebla","Puebla","La Constancia","PU.PU.LC"
"180","Puebla","Puebla","Los Cipreses","PU.PU.LC"
"181","Puebla","Puebla","Tepetzintla","PU.PU.TT"
"182","Puebla","Puebla","Molino de Santo Domingo","PU.PU.MD"
"183","Puebla","Puebla","Campestre del Bosque","PU.PU.CB"
"184","Puebla","Puebla","Las Fuentes de Puebla","PU.PU.LP"
"185","Puebla","Puebla","Ignacio Romero Vargas","PU.PU.IV"
"186","Puebla","Puebla","Villas el Encanto I","PU.PU.VI"
"187","Puebla","Puebla","Independencia","PU.PU.II"
"188","Puebla","Puebla","San José Guadalupe","PU.PU.SG"
"189","Puebla","Puebla","Miguel Abed","PU.PU.MA"
"190","Puebla","Puebla","INFONAVIT Hermenegildo J. Aldana","PU.PU.IA"
"191","Puebla","Puebla","Centro Cruz del Sur","PU.PU.CS"
"192","Puebla","Puebla","Los Arcos Santa Cruz","PU.PU.LC"
"193","Puebla","Puebla","La Vega","PU.PU.LV"
"194","Puebla","Puebla","Villas el Encanto II","PU.PU.VI"
"195","Puebla","Puebla","Vista Hermosa","PU.PU.VH"
"196","Puebla","Puebla","Villas Inglesas","PU.PU.VI"
"197","Puebla","Puebla","San José Citlaltepetl","PU.PU.SC"
"198","Puebla","Puebla","Cuautlancingo","PU.PU.CC"
"199","Puebla","Puebla","INFONAVIT Ladrillera","PU.PU.IL"
"200","Puebla","Puebla","Residencial los Álamos","PU.PU.RÁ"
"201","Puebla","Puebla","Obrera Textil José Abascal","PU.PU.OA"
"202","Puebla","Puebla","Las Alamedas","PU.PU.LA"
"203","Puebla","Puebla","La Ahogada","PU.PU.LA"
"204","Puebla","Puebla","La Gloria I","PU.PU.LI"
"205","Puebla","Puebla","San Carlos","PU.PU.SC"
"206","Puebla","Puebla","Villa Madero","PU.PU.VM"
"207","Puebla","Puebla","Francisco I. Madero","PU.PU.FM"
"208","Puebla","Puebla","La Libertad","PU.PU.LL"
"209","Puebla","Puebla","Residencial Privanza","PU.PU.RP"
"210","Puebla","Puebla","Francisco I. Madero","PU.PU.FM"
"211","Puebla","Puebla","La Gloria II","PU.PU.LI"
"212","Puebla","Puebla","Los Laureles","PU.PU.LL"
"213","Puebla","Puebla","Patriotismo","PU.PU.PP"
"214","Puebla","Puebla","Puerta de Hierro","PU.PU.PH"
"215","Puebla","Puebla","Jacarandas","PU.PU.JJ"
"216","Puebla","Puebla","Los Vergeles","PU.PU.LV"
"217","Puebla","Puebla","Aquiles Serdán","PU.PU.AS"
"218","Puebla","Puebla","Valle del Rey","PU.PU.VR"
"219","Puebla","Puebla","Amor","PU.PU.AA"
"220","Puebla","Puebla","Los Viveros","PU.PU.LV"
"221","Puebla","Puebla","Jardines de Zavaleta","PU.PU.JZ"
"222","Puebla","Puebla","Britania","PU.PU.BB"
"223","Puebla","Puebla","Rincón San José del Puente","PU.PU.RP"
"224","Puebla","Puebla","San José del Puente","PU.PU.SP"
"225","Puebla","Puebla","Villas Cruz del Sur","PU.PU.VS"
"226","Puebla","Puebla","Villas el Navarriego","PU.PU.VN"
"227","Puebla","Puebla","Campestre el Paraíso","PU.PU.CP"
"228","Puebla","Puebla","Del Farol","PU.PU.DF"
"229","Puebla","Puebla","Rinconada de los Viveros","PU.PU.RV"
"230","Puebla","Puebla","Club Britania","PU.PU.CB"
"231","Puebla","Puebla","Santa Cruz Buenavista","PU.PU.SB"
"232","Puebla","Puebla","Humbolt","PU.PU.HH"
"233","Puebla","Puebla","Arboledas del Paraíso","PU.PU.AP"
"234","Puebla","Puebla","Rinconada Santa Cruz","PU.PU.RC"
"235","Puebla","Puebla","Villas los Viveros","PU.PU.VV"
"236","Puebla","Puebla","Los Arrayanes","PU.PU.LA"
"237","Puebla","Puebla","Independencia","PU.PU.II"
"238","Puebla","Puebla","Residencial Ex-Hacienda de Zavaleta","PU.PU.RZ"
"239","Puebla","Puebla","Santa Cruz Buenavista","PU.PU.SB"
"240","Puebla","Puebla","Cipreses  Zavaleta","PU.PU.CZ"
"241","Puebla","Puebla","Villa de Zavaleta","PU.PU.VZ"
"242","Puebla","Puebla","San Bernardo","PU.PU.SB"
"243","Puebla","Puebla","La Cañada (Romero Vargas)","PU.PU.LV"
"244","Puebla","Puebla","La Cuchilla","PU.PU.LC"
"245","Puebla","Puebla","Vista del Volcán","PU.PU.VV"
"246","Puebla","Puebla","La Loma (Ejido Romero Vargas","PU.PU.LV"
"247","Puebla","Puebla","Ampliación Reforma","PU.PU.AR"
"248","Puebla","Puebla","Reforma","PU.PU.RR"
"249","Puebla","Puebla","Plaza Reforma","PU.PU.PR"
"250","Puebla","Puebla","La Paz","PU.PU.LP"
"251","Puebla","Puebla","Reforma Sur (La Libertad)","PU.PU.RL"
"252","Puebla","Puebla","Guadalupe (Ejido Romero Vargas)","PU.PU.GV"
"253","Puebla","Puebla","Santa Cruz Guadalupe","PU.PU.SG"
"254","Puebla","Puebla","Bello Horizonte","PU.PU.BH"
"255","Puebla","Puebla","Bellas Artes","PU.PU.BA"
"256","Puebla","Puebla","Arcos del Sur","PU.PU.AS"
"257","Puebla","Puebla","La Flor de Nieve","PU.PU.LN"
"258","Puebla","Puebla","La Concepción","PU.PU.LC"
"259","Puebla","Puebla","Hacienda San Andrés","PU.PU.HA"
"260","Puebla","Puebla","Camino Real a Cholula","PU.PU.CC"
"261","Puebla","Puebla","Camino Real","PU.PU.CR"
"262","Puebla","Puebla","San Marcos","PU.PU.SM"
"263","Puebla","Puebla","Villa Alejandra","PU.PU.VA"
"264","Puebla","Puebla","Villa Escondida","PU.PU.VE"
"265","Puebla","Puebla","Fundadores de Zavaleta","PU.PU.FZ"
"266","Puebla","Puebla","Zavaleta (Momoxpan)","PU.PU.Z("
"267","Puebla","Puebla","Real de Morillotla","PU.PU.RM"
"268","Puebla","Puebla","Rincón de San Andrés","PU.PU.RA"
"269","Puebla","Puebla","Villa Génesis","PU.PU.VG"
"270","Puebla","Puebla","Ex-Hacienda Concepción Buena Vista","PU.PU.EV"
"271","Puebla","Puebla","Residencial la Escondida","PU.PU.RE"
"272","Puebla","Puebla","Zavaleta (Zavaleta)","PU.PU.Z("
"273","Puebla","Puebla","Camino Real a Cholula","PU.PU.CC"
"274","Puebla","Puebla","Zona Residencial Anexa Estrellas del Sur","PU.PU.ZS"
"275","Puebla","Puebla","Nueva Antequera","PU.PU.NA"
"276","Puebla","Puebla","Providencia las Ánimas","PU.PU.PÁ"
"277","Puebla","Puebla","Las Animas Santa Anita","PU.PU.LA"
"278","Puebla","Puebla","Belisario Domínguez","PU.PU.BD"
"279","Puebla","Puebla","Unidad Palma","PU.PU.UP"
"280","Puebla","Puebla","San Miguel la Rosa","PU.PU.SR"
"281","Puebla","Puebla","Concepción las Lajas","PU.PU.CL"
"282","Puebla","Puebla","Geovillas Atlixcayotl la Hacienda","PU.PU.GH"
"283","Puebla","Puebla","San Ángel","PU.PU.SÁ"
"284","Puebla","Puebla","Cortijo la Herradura","PU.PU.CH"
"285","Puebla","Puebla","Estrella del Sur","PU.PU.ES"
"286","Puebla","Puebla","San José Vista Hermosa","PU.PU.SH"
"287","Puebla","Puebla","Momosa","PU.PU.MM"
"288","Puebla","Puebla","Las Sinfonías","PU.PU.LS"
"289","Puebla","Puebla","Corredor Comercial Desarrollo Atlixcayotl","PU.PU.CA"
"290","Puebla","Puebla","Angelopolis","PU.PU.AA"
"291","Puebla","Puebla","Rinconada Sur Oriente","PU.PU.RO"
"292","Puebla","Puebla","Rinconada Sur Poniente","PU.PU.RP"
"293","Puebla","Puebla","Del Arte","PU.PU.DA"
"294","Puebla","Puebla","Jardines de San José","PU.PU.JJ"
"295","Puebla","Puebla","Corredor Empresarial Boulevard Atlixco","PU.PU.CA"
"296","Puebla","Puebla","Ampliación Concepción la Cruz","PU.PU.AC"
"297","Puebla","Puebla","Villas de Atlixco","PU.PU.VA"
"298","Puebla","Puebla","Pontevedra","PU.PU.PP"
"299","Puebla","Puebla","La Cima","PU.PU.LC"
"300","Puebla","Puebla","Villas de Atlixco 4a. Sección","PU.PU.VS"
"301","Puebla","Puebla","Geovillas Atlixcayotl","PU.PU.GA"
"302","Puebla","Puebla","Real de Zavaleta","PU.PU.RZ"
"303","Puebla","Puebla","Concepción la Cruz","PU.PU.CC"
"304","Puebla","Puebla","El Pilar","PU.PU.EP"
"305","Puebla","Puebla","Revolución Mexicana","PU.PU.RM"
"306","Puebla","Puebla","Villa Frontera","PU.PU.VF"
"307","Puebla","Puebla","INFONAVIT San Pedro","PU.PU.IP"
"308","Puebla","Puebla","Unión y Libertad","PU.PU.UL"
"309","Puebla","Puebla","Roma","PU.PU.RR"
"310","Puebla","Puebla","Tepeyac","PU.PU.TT"
"311","Puebla","Puebla","Tecnológico","PU.PU.TT"
"312","Puebla","Puebla","Unidad Independencia","PU.PU.UI"
"313","Puebla","Puebla","Malintzi","PU.PU.MM"
"314","Puebla","Puebla","San Pedro","PU.PU.SP"
"315","Puebla","Puebla","El Pinal","PU.PU.EP"
"316","Puebla","Puebla","Naciones Unidas","PU.PU.NU"
"317","Puebla","Puebla","San Sebastián de Aparicio","PU.PU.SA"
"318","Puebla","Puebla","La Josefina","PU.PU.LJ"
"319","Puebla","Puebla","Villa Deportiva","PU.PU.VD"
"320","Puebla","Puebla","Maravillas","PU.PU.MM"
"321","Puebla","Puebla","Villa Maruca","PU.PU.VM"
"322","Puebla","Puebla","Corredor Industrial La Ciénega","PU.PU.CC"
"323","Puebla","Puebla","Estación Nueva","PU.PU.EN"
"324","Puebla","Puebla","Jardines de la Resurrección","PU.PU.JR"
"325","Puebla","Puebla","Viveros del Valle","PU.PU.VV"
"326","Puebla","Puebla","Parque Industrial Puebla 2000","PU.PU.P2"
"327","Puebla","Puebla","La Resurrección","PU.PU.LR"
"328","Puebla","Puebla","Bosques de Santa Anita","PU.PU.BA"
"329","Puebla","Puebla","Cerro del Marqués","PU.PU.CM"
"330","Puebla","Puebla","Riveras de Aparicio","PU.PU.RA"
"331","Puebla","Puebla","Los Encinos","PU.PU.LE"
"332","Puebla","Puebla","2 de Marzo","PU.PU.2M"
"333","Puebla","Puebla","8 de Diciembre","PU.PU.8D"
"334","Puebla","Puebla","Tliloxtoc","PU.PU.TT"
"335","Puebla","Puebla","Bosques de los Angeles","PU.PU.BA"
"336","Puebla","Puebla","15 de Septiembre","PU.PU.1S"
"337","Puebla","Puebla","6 de Junio","PU.PU.6J"
"338","Puebla","Puebla","Campestre San Isidro","PU.PU.CI"
"339","Puebla","Puebla","Noche Buena","PU.PU.NB"
"340","Puebla","Puebla","Jorge Obispo","PU.PU.JO"
"341","Puebla","Puebla","Santa Rosa","PU.PU.SR"
"342","Puebla","Puebla","San Aparicio las Fuentes","PU.PU.SF"
"343","Puebla","Puebla","Indios Verdes","PU.PU.IV"
"344","Puebla","Puebla","Parque Industrial Resurrección","PU.PU.PR"
"345","Puebla","Puebla","Tres de Mayo","PU.PU.TM"
"346","Puebla","Puebla","Torre Fuerte","PU.PU.TF"
"347","Puebla","Puebla","INFONAVIT San Aparicio","PU.PU.IA"
"348","Puebla","Puebla","Rancho San Diego","PU.PU.RD"
"349","Puebla","Puebla","Valle de las Flores","PU.PU.VF"
"350","Puebla","Puebla","Hacienda de Manzanilla","PU.PU.HM"
"351","Puebla","Puebla","Galaxia Bosques de Manzanilla","PU.PU.GM"
"352","Puebla","Puebla","Villa Guadalupe (Xonacatepec)","PU.PU.V("
"353","Puebla","Puebla","Xonacatepec","PU.PU.XX"
"354","Puebla","Puebla","San Esteban las Aves","PU.PU.SA"
"355","Puebla","Puebla","Ampliación Bosques de Santa Anita","PU.PU.AA"
"356","Puebla","Puebla","Santa María Xonacatepec","PU.PU.SX"
"357","Puebla","Puebla","San Miguel Xonacatepec","PU.PU.SX"
"358","Puebla","Puebla","La Barranca","PU.PU.LB"
"359","Puebla","Puebla","Jardines de San José Xonacatepec","PU.PU.JX"
"360","Puebla","Puebla","Villas Manzanilla","PU.PU.VM"
"361","Puebla","Puebla","San Miguel Xonacatepec 2da. Sección","PU.PU.SS"
"362","Puebla","Puebla","La Loma Norte","PU.PU.LN"
"363","Puebla","Puebla","Veinte de Noviembre","PU.PU.VN"
"364","Puebla","Puebla","Zona Industrial Anexo a la Loma","PU.PU.ZL"
"365","Puebla","Puebla","16 de Septiembre Norte","PU.PU.1N"
"366","Puebla","Puebla","Guadalupe Victoria Norte","PU.PU.GN"
"367","Puebla","Puebla","Vicente Budib","PU.PU.VB"
"368","Puebla","Puebla","Los Pinos","PU.PU.LP"
"369","Puebla","Puebla","Plaza Loreto","PU.PU.PL"
"370","Puebla","Puebla","Adolfo López Mateos","PU.PU.AM"
"371","Puebla","Puebla","Cuauhtémoc","PU.PU.CC"
"372","Puebla","Puebla","Obrera Campesina","PU.PU.OC"
"373","Puebla","Puebla","Arboledas Guadalupe","PU.PU.AG"
"374","Puebla","Puebla","Mártires del Trabajo","PU.PU.MT"
"375","Puebla","Puebla","1° de Mayo Unión Antorchista","PU.PU.1A"
"376","Puebla","Puebla","Plazas de Guadalupe","PU.PU.PG"
"377","Puebla","Puebla","Lomas de Loreto","PU.PU.LL"
"378","Puebla","Puebla","Hidalgo","PU.PU.HH"
"379","Puebla","Puebla","Moctezuma","PU.PU.MM"
"380","Puebla","Puebla","INFONAVIT la Ciénega (Unidad Movimiento Obrero)","PU.PU.IO"
"381","Puebla","Puebla","Rementeria","PU.PU.RR"
"382","Puebla","Puebla","José María Morelos y Pavón","PU.PU.JP"
"383","Puebla","Puebla","INFONAVIT La Rosa","PU.PU.IR"
"384","Puebla","Puebla","Unidad Cívica 5 de Mayo","PU.PU.UM"
"385","Puebla","Puebla","Fauna Marina","PU.PU.FM"
"386","Puebla","Puebla","Jardines de los Fuertes","PU.PU.JF"
"387","Puebla","Puebla","Renacimiento","PU.PU.RR"
"388","Puebla","Puebla","Arboledas Sección Fuentes","PU.PU.AF"
"389","Puebla","Puebla","Lomas 5 de Mayo","PU.PU.LM"
"390","Puebla","Puebla","Diez de Mayo","PU.PU.DM"
"391","Puebla","Puebla","Luz del Alba","PU.PU.LA"
"392","Puebla","Puebla","Puebla","PU.PU.PP"
"393","Puebla","Puebla","Azteca","PU.PU.AA"
"394","Puebla","Puebla","Iturbide","PU.PU.II"
"395","Puebla","Puebla","Cinco de Mayo","PU.PU.CM"
"396","Puebla","Puebla","Vista Hermosa","PU.PU.VH"
"397","Puebla","Puebla","Aldama","PU.PU.AA"
"398","Puebla","Puebla","Héroes del 5 de Mayo","PU.PU.HM"
"399","Puebla","Puebla","Xonaca","PU.PU.XX"
"400","Puebla","Puebla","Xanenetla","PU.PU.XX"
"401","Puebla","Puebla","Buenos Aires","PU.PU.BA"
"402","Puebla","Puebla","Rincón del Bosque","PU.PU.RB"
"403","Puebla","Puebla","Barrio del Alto","PU.PU.BA"
"404","Puebla","Puebla","Unidad Magisterial México 68","PU.PU.U6"
"405","Puebla","Puebla","Joaquín Colombres","PU.PU.JC"
"406","Puebla","Puebla","Villa Verde","PU.PU.VV"
"407","Puebla","Puebla","Camino a Manzanilla","PU.PU.CM"
"408","Puebla","Puebla","Bosques de Manzanilla","PU.PU.BM"
"409","Puebla","Puebla","Miguel Hidalgo (Resurrección)","PU.PU.M("
"410","Puebla","Puebla","La Nueva Resurrección","PU.PU.LR"
"411","Puebla","Puebla","INFONAVIT Manuel Rivera Anaya","PU.PU.IA"
"412","Puebla","Puebla","Arboledas de Amalucan","PU.PU.AA"
"413","Puebla","Puebla","Villas Real Campestre II","PU.PU.VI"
"414","Puebla","Puebla","Conjunto Habitacional San Andrés","PU.PU.CA"
"415","Puebla","Puebla","Bosques San Sebastián","PU.PU.BS"
"416","Puebla","Puebla","Villa Frescura VI","PU.PU.VV"
"417","Puebla","Puebla","Real Campestre","PU.PU.RC"
"418","Puebla","Puebla","Lumbreras de Amalucan (Jardines)","PU.PU.L("
"419","Puebla","Puebla","Hacienda los Capulines I","PU.PU.HI"
"420","Puebla","Puebla","INFONAVIT Amalucan","PU.PU.IA"
"421","Puebla","Puebla","INFONAVIT Bugambilias","PU.PU.IB"
